database,@id,@score,authors,doi,ee,key,number,pages,title,type,url,venue,volume,year
DBLP,206200,3,"Maryam M. Maleki, Vesal Hakami, Mehdi Dehghan",10.1007/S11277-017-3987-8,https://doi.org/10.1007/s11277-017-3987-8,journals/wpc/MalekiHD17,3,3119-3139,A Model-Based Reinforcement Learning Algorithm for Routing in Energy Harvesting Mobile Ad-Hoc Networks.,Journal Articles,https://dblp.org/rec/journals/wpc/MalekiHD17,Wireless Personal Communications,95,2017
DBLP,206442,3,"A. Pravin Renold, S. Chandrakala",10.1007/S11277-016-3729-3,https://doi.org/10.1007/s11277-016-3729-3,journals/wpc/RenoldC17,4,5061-5079,MRL-SCSO - Multi-agent Reinforcement Learning-Based Self-Configuration and Self-Optimization Protocol for Unattended Wireless Sensor Networks.,Journal Articles,https://dblp.org/rec/journals/wpc/RenoldC17,Wireless Personal Communications,96,2017
DBLP,206443,3,"A. Pravin Renold, S. Chandrakala",10.1007/S11277-016-3832-5,https://doi.org/10.1007/s11277-016-3832-5,journals/wpc/RenoldC17a,4,5081,Erratum to - MRL-SCSO - Multi-agent Reinforcement Learning-Based Self-Configuration and Self-Optimization Protocol for Unattended Wireless Sensor Networks.,Journal Articles,https://dblp.org/rec/journals/wpc/RenoldC17a,Wireless Personal Communications,96,2017
DBLP,260480,3,"Hannes Ritschel, Elisabeth André",10.1145/3029798.3038381,http://doi.acm.org/10.1145/3029798.3038381,conf/hri/RitschelA17,,265-266,Real-Time Robot Personality Adaptation based on Reinforcement Learning and Social Signals.,Conference and Workshop Papers,https://dblp.org/rec/conf/hri/RitschelA17,HRI,,2017
DBLP,287726,3,"Sanmit Narvekar, Jivko Sinapov, Peter Stone",10.24963/IJCAI.2017/353,https://doi.org/10.24963/ijcai.2017/353,conf/ijcai/NarvekarSS17,,2536-2542,Autonomous Task Sequencing for Customized Curriculum Design in Reinforcement Learning.,Conference and Workshop Papers,https://dblp.org/rec/conf/ijcai/NarvekarSS17,IJCAI,,2017
DBLP,287915,3,"Pengcheng Wang, Jonathan P. Rowe, Wookhee Min, Bradford W. Mott, James C. Lester",10.24963/IJCAI.2017/538,https://doi.org/10.24963/ijcai.2017/538,conf/ijcai/WangRMML17,,3852-3858,Interactive Narrative Personalization with Deep Reinforcement Learning.,Conference and Workshop Papers,https://dblp.org/rec/conf/ijcai/WangRMML17,IJCAI,,2017
DBLP,317171,3,"Konstantinos Tsiakas, Michalis Papakostas, Michail Theofanidis, Morris Bell, Rada Mihalcea, Shouyi Wang, Mihai Burzo, Fillia Makedon",10.1145/3056540.3076191,http://doi.acm.org/10.1145/3056540.3076191,conf/petra/TsiakasPTBMWBM17,,423-427,An Interactive Multisensing Framework for Personalized Human Robot Collaboration and Assistive Training Using Reinforcement Learning.,Conference and Workshop Papers,https://dblp.org/rec/conf/petra/TsiakasPTBMWBM17,PETRA,,2017
DBLP,368685,3,"Feiyun Zhu, Jun Guo, Zheng Xu 0005, Peng Liao, Junzhou Huang",,http://arxiv.org/abs/1708.04001,journals/corr/abs-1708-04001,,,Group-driven Reinforcement Learning for Personalized mHealth Intervention.,Informal Publications,https://dblp.org/rec/journals/corr/abs-1708-04001,CoRR,abs/1708.04001,2017
DBLP,378701,3,"Wei-Hung Weng, Mingwu Gao, Ze He, Susu Yan, Peter Szolovits",,http://arxiv.org/abs/1712.00654,journals/corr/abs-1712-00654,,,Representation and Reinforcement Learning for Personalized Glycemic Control in Septic Patients.,Informal Publications,https://dblp.org/rec/journals/corr/abs-1712-00654,CoRR,abs/1712.00654,2017
DBLP,450493,3,"Stefano Ferretti, Silvia Mirri, Catia Prandi, Paola Salomoni",10.1016/J.JSS.2016.02.008,https://doi.org/10.1016/j.jss.2016.02.008,journals/jss/FerrettiMPS16,,157-169,Automatic web content personalization through reinforcement learning.,Journal Articles,https://dblp.org/rec/journals/jss/FerrettiMPS16,Journal of Systems and Software,121,2016
