database,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
ACM-DL,article,2343711,Benedict C. May and Nathan  Korda and Anthony  Lee and David S. Leslie,,,,Optimistic Bayesian Sampling in Contextual-bandit Problems,2069--2106,,38,"Thompson sampling, contextual bandits, exploration-exploitation, multi-armed bandits, sequential allocation",,J. Mach. Learn. Res.,January 2012,13,1,,June,2012,1532-4435,,,,,,JMLR.org,
ACM-DL,article,2343711,Benedict C. May and Nathan  Korda and Anthony  Lee and David S. Leslie,,,,Optimistic Bayesian Sampling in Contextual-bandit Problems,2069--2106,,38,"Thompson sampling, contextual bandits, exploration-exploitation, multi-armed bandits, sequential allocation",,J. Mach. Learn. Res.,3/1/2012,13,,,June,2012,1532-4435,,,,,,JMLR.org,
ACM-DL,article,2937066,Jonathan  Bragg and   Mausam and Daniel S. Weld,,,,Optimal Testing for Crowd Workers,966--974,,9,"crowdsourcing, reinforcement learning",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2937066,Jonathan  Bragg and   Mausam and Daniel S. Weld,,,,Optimal Testing for Crowd Workers,966--974,,9,"crowdsourcing, reinforcement learning",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2937221,Sebastian  Ahrndt and Marco  L&#252;tzenberger and Stephen M. Prochnow,,,,Using Personality Models As Prior Knowledge to Accelerate Learning About Stress-Coping Preferences: (Demonstration),1485--1487,,3,"human-agent teamwork, human-behaviour models, reinforcement learning",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2937221,Sebastian  Ahrndt and Marco  L&#252;tzenberger and Stephen M. Prochnow,,,,Using Personality Models As Prior Knowledge to Accelerate Learning About Stress-Coping Preferences: (Demonstration),1485--1487,,3,"human-agent teamwork, human-behaviour models, reinforcement learning",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,3208907,Esther  Mengelkamp and Johannes  G&#228;rttner and Christof  Weinhardt,,,,Intelligent Agent Strategies for Residential Customers in Local Electricity Markets,97--107,,11,"Local electricity market, intelligent agents, reinforcement learning",10.1145/3208903.3208907,,,,,,,2018,,Proceedings of the Ninth International Conference on Future Energy Systems,e-Energy '18,,978-1-4503-5767-8,"Karlsruhe, Germany",ACM,"New York, NY, USA"
ACM-DL,article,3025571,Nikola  Banovic and Anqi  Wang and Yanfeng  Jin and Christie  Chang and Julian  Ramos and Anind  Dey and Jennifer  Mankoff,,,,Leveraging Human Routine Models to Detect and Generate Human Behaviors,6683--6694,,12,"inverse reinforcement learning, maximum entropy",10.1145/3025453.3025571,,,,,,,2017,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI '17,,978-1-4503-4655-9,"Denver, Colorado, USA",ACM,"New York, NY, USA"
ACM-DL,article,3080706,Min  Yang and Zhou  Zhao and Wei  Zhao and Xiaojun  Chen and Jia  Zhu and Lianqiang  Zhou and Zigang  Cao,,,,Personalized Response Generation via Domain Adaptation,1021--1024,,4,"domain adaptation, reinforcement learning, response generation",10.1145/3077136.3080706,,,,,,,2017,,Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR '17,,978-1-4503-5022-8,"Shinjuku, Tokyo, Japan",ACM,"New York, NY, USA"
ACM-DL,article,544832,Kagan  Tumer and Adrian K. Agogino and David H. Wolpert,,,,Learning Sequences of Actions in Collectives of Autonomous Agents,378--385,,8,"MAS, Q-learning, reinforcement learning",10.1145/544741.544832,,,,,,,2002,,Proceedings of the First International Joint Conference on Autonomous Agents and Multiagent Systems: Part 1,AAMAS '02,,1-58113-480-0,"Bologna, Italy",ACM,"New York, NY, USA"
ACM-DL,article,1363954,Nima  Taghipour and Ahmad  Kardan,,,,A Hybrid Web Recommender System Based on Q-learning,1164--1168,,5,"machine learning, personalization, recommender systems, reinforcement learning, web mining",10.1145/1363686.1363954,,,,,,,2008,,Proceedings of the 2008 ACM Symposium on Applied Computing,SAC '08,,978-1-59593-753-7,"Fortaleza, Ceara, Brazil",ACM,"New York, NY, USA"
ACM-DL,article,3038381,Hannes  Ritschel and Elisabeth  Andr&#233;,,,,Real-Time Robot Personality Adaptation Based on Reinforcement Learning and Social Signals,265--266,,2,"adaptation, dialog, introversion/extraversion, personality, reinforcement learning, social robotics, social signals",10.1145/3029798.3038381,,,,,,,2017,,Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,HRI '17,,978-1-4503-4885-0,"Vienna, Austria",ACM,"New York, NY, USA"
ACM-DL,article,2937203,Samantha  Krening and Brent  Harrison and Karen M. Feigh and Charles  Isbell and Andrea  Thomaz,,,,Object-Focused Advice in Reinforcement Learning,1447--1448,,2,"advice, human teachers, reinforcement learning",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2937203,Samantha  Krening and Brent  Harrison and Karen M. Feigh and Charles  Isbell and Andrea  Thomaz,,,,Object-Focused Advice in Reinforcement Learning,1447--1448,,2,"advice, human teachers, reinforcement learning",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,1402344,Steven  de Jong and Karl  Tuyls and Katja  Verbeeck,,,,Artificial Agents Learning Human Fairness,863--870,,8,"fairness, homo egualis, reinforcement learning",,,,,,,,2008,,Proceedings of the 7th International Joint Conference on Autonomous Agents and Multiagent Systems - Volume 2,AAMAS '08,,978-0-9817381-1-6,"Estoril, Portugal",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,1082486,Adrian  Agogino and Kagan  Turner,,,,Multi-agent Reward Analysis for Learning in Noisy Domains,81--88,,8,"multiagent systems, reinforcement learning, visualization",10.1145/1082473.1082486,,,,,,,2005,,Proceedings of the Fourth International Joint Conference on Autonomous Agents and Multiagent Systems,AAMAS '05,,1-59593-093-0,The Netherlands,ACM,"New York, NY, USA"
ACM-DL,article,1297250,Nima  Taghipour and Ahmad  Kardan and Saeed Shiry Ghidary,,,,Usage-based Web Recommendations: A Reinforcement Learning Approach,113--120,,8,"machine learning, personalization, recommender systems, reinforcement learning, web usage mining",10.1145/1297231.1297250,,,,,,,2007,,Proceedings of the 2007 ACM Conference on Recommender Systems,RecSys '07,,978-1-59593-730--8,"Minneapolis, MN, USA",ACM,"New York, NY, USA"
ACM-DL,article,1290075,Hiranmay  Ghosh and P.  Poornachander and Anupama  Mallik and Santanu  Chaudhury,,,,Learning Ontology for Personalized Video Retrieval,39--46,,8,"bayesian network, content modeling, reinforcement learning, video retrieval",10.1145/1290067.1290075,,,,,,,2007,,Workshop on Multimedia Information Retrieval on The Many Faces of Multimedia Semantics,MS '07,,978-1-59593-782-7,"Augsburg, Bavaria, Germany",ACM,"New York, NY, USA"
ACM-DL,article,325859,Young-Woo  Seo and Byoung-Tak  Zhang,,,,A Reinforcement Learning Agent for Personalized Information Filtering,248--251,,4,"Web-based information filtering, learning user's preferences, reinforcement learning, user interface agents",10.1145/325737.325859,,,,,,,2000,,Proceedings of the 5th International Conference on Intelligent User Interfaces,IUI '00,,1-58113-134-8,"New Orleans, Louisiana, USA",ACM,"New York, NY, USA"
ACM-DL,article,1502700,Amin  Atrash and Joelle  Pineau,,,,A Bayesian Reinforcement Learning Approach for Customizing Human-robot Interfaces,355--360,,6,"activity & plan recognition, intelligent assistants, intelligent interfaces for ubiquitous computing",10.1145/1502650.1502700,,,,,,,2009,,Proceedings of the 14th International Conference on Intelligent User Interfaces,IUI '09,,978-1-60558-168-2,"Sanibel Island, Florida, USA",ACM,"New York, NY, USA"
ACM-DL,article,3185994,Guanjie  Zheng and Fuzheng  Zhang and Zihan  Zheng and Yang  Xiang and Nicholas Jing  Yuan and Xing  Xie and Zhenhui  Li,,,,DRN: A Deep Reinforcement Learning Framework for News Recommendation,167--176,,10,"deep Q-Learning, news recommendation, reinforcement learning",10.1145/3178876.3185994,,,,,,,2018,,Proceedings of the 2018 World Wide Web Conference,WWW '18,,978-1-4503-5639-8,"Lyon, France",International World Wide Web Conferences Steering Committee,"Republic and Canton of Geneva, Switzerland"
ACM-DL,article,2365971,Omar  Moling and Linas  Baltrunas and Francesco  Ricci,,,,Optimal Radio Channel Recommendations with Explicit and Implicit Feedback,75--82,,8,"implicit feedback, reinforcement learning, sequential music recommendations",10.1145/2365952.2365971,,,,,,,2012,,Proceedings of the Sixth ACM Conference on Recommender Systems,RecSys '12,,978-1-4503-1270-7,"Dublin, Ireland",ACM,"New York, NY, USA"
ACM-DL,article,3121098,Ziming  Li and Julia  Kiseleva and Maarten  de Rijke and Artem  Grotov,,,,Towards Learning Reward Functions from User Interactions,289--292,,4,"interactive systems, inverse reinforcement learning, online evaluation",10.1145/3121050.3121098,,,,,,,2017,,Proceedings of the ACM SIGIR International Conference on Theory of Information Retrieval,ICTIR '17,,978-1-4503-4490-6,"Amsterdam, The Netherlands",ACM,"New York, NY, USA"
ACM-DL,article,1082648,Gustavo  Andrade and Geber  Ramalho and Hugo  Santana and Vincent  Corruble,,,,Automatic Computer Game Balancing: A Reinforcement Learning Approach,1111--1112,,2,"adaptive agents, game balancing, reinforcement learning",10.1145/1082473.1082648,,,,,,,2005,,Proceedings of the Fourth International Joint Conference on Autonomous Agents and Multiagent Systems,AAMAS '05,,1-59593-093-0,The Netherlands,ACM,"New York, NY, USA"
ACM-DL,article,3099070,David  Massimo and Mehdi  Elahi and Francesco  Ricci,,,,Learning User Preferences by Observing User-Items Interactions in an IoT Augmented Space,35--40,,6,"cultural heritage, implicit feedback, internet of things, inverse reinforcement learning, museum, recommder systems, reinforcement learning, user modelling",10.1145/3099023.3099070,,,,,,,2017,,"Adjunct Publication of the 25th Conference on User Modeling, Adaptation and Personalization",UMAP '17,,978-1-4503-5067-9,"Bratislava, Slovakia",ACM,"New York, NY, USA"
ACM-DL,article,2001721,Lisa M. Guntly and Daniel R. Tauritz,,,,Learning Individual Mating Preferences,1069--1076,,8,"evolutionary algorithm, mate selection, reinforcement learning",10.1145/2001576.2001721,,,,,,,2011,,Proceedings of the 13th Annual Conference on Genetic and Evolutionary Computation,GECCO '11,,978-1-4503-0557-0,"Dublin, Ireland",ACM,"New York, NY, USA"
ACM-DL,article,1555247,Ivana  Dusparic and Vinny  Cahill,,,,Using Distributed W-learning for Multi-policy Optimization in Decentralized Autonomic Systems,63--64,,2,"autonomic computing, decentralized systems, reinforcement learning",10.1145/1555228.1555247,,,,,,,2009,,Proceedings of the 6th International Conference on Autonomic Computing,ICAC '09,,978-1-60558-564-2,"Barcelona, Spain",ACM,"New York, NY, USA"
ACM-DL,article,2682672,Sara  Amini and Mohsen  Afsharchi,,,,Finding Better Teammates in a Semi-cooperative Multi-agent System,143--150,,8,"Team Formation, Reinforcement Learning, Distributed Resource Allocation",10.1109/WI-IAT.2014.161,,,,,,,2014,,Proceedings of the 2014 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT) - Volume 03,WI-IAT '14,,978-1-4799-4143-8,,IEEE Computer Society,"Washington, DC, USA"
ACM-DL,article,2937007,Sanmit  Narvekar and Jivko  Sinapov and Matteo  Leonetti and Peter  Stone,,,,Source Task Creation for Curriculum Learning,566--574,,9,"curriculum learning, reinforcement learning, transfer learning",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2024746,Yang  Ge and Qinru  Qiu,,,,Dynamic Thermal Management for Multimedia Applications Using Machine Learning,95--100,,6,"dynamic, multimedia application, reinforcement learning, thermal management",10.1145/2024724.2024746,,,,,,,2011,,Proceedings of the 48th Design Automation Conference,DAC '11,,978-1-4503-0636-2,"San Diego, California",ACM,"New York, NY, USA"
ACM-DL,article,2616061,Muthukumaran  Chandrasekaran and Prashant  Doshi and Yifeng  Zeng and Yingke  Chen,,,,Team Behavior in Interactive Dynamic Influence Diagrams with Applications to Ad Hoc Teams,1559--1560,,2,"ad hoc teamwork, multiagent planning, reinforcement learning",,,,,,,,2014,,Proceedings of the 2014 International Conference on Autonomous Agents and Multi-agent Systems,AAMAS '14,,978-1-4503-2738-1,"Paris, France",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2783392,Su-Chen  Lin and Shou-De  Lin and Ming-Syan  Chen,,,,A Learning-based Framework to Handle Multi-round Multi-party Influence Maximization on Social Networks,695--704,,10,"influence maximization, reinforcement learning, social network",10.1145/2783258.2783392,,,,,,,2015,,Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,KDD '15,,978-1-4503-3664-2,"Sydney, NSW, Australia",ACM,"New York, NY, USA"
ACM-DL,article,3075970,Ana L. C. Bazzan,,,,Synergies Between Evolutionary Computation and Multiagent Reinforcement Learning: The Benefits of Exchanging Solutions,201--202,,2,"evolutionary computation, multiagent systems, reinforcement learning",10.1145/3067695.3075970,,,,,,,2017,,Proceedings of the Genetic and Evolutionary Computation Conference Companion,GECCO '17,,978-1-4503-4939-0,"Berlin, Germany",ACM,"New York, NY, USA"
ACM-DL,article,2876457,Konstantinos  Tsiakas,,,,Facilitating Safe Adaptation of Interactive Agents Using Interactive Reinforcement Learning,106--109,,4,"adaptation, interaction management, interactive reinforcement learning, learning agents",10.1145/2876456.2876457,,,,,,,2016,,Companion Publication of the 21st International Conference on Intelligent User Interfaces,IUI '16 Companion,,978-1-4503-4140-0,"Sonoma, California, USA",ACM,"New York, NY, USA"
ACM-DL,article,2616049,Kyriakos  Efthymiadis and Sam  Devlin and Daniel  Kudenko,,,,Knowledge Revision for Reinforcement Learning with Abstract MDPs,1535--1536,,2,"knowledge revision, reinforcement learning, reward shaping",,,,,,,,2014,,Proceedings of the 2014 International Conference on Autonomous Agents and Multi-agent Systems,AAMAS '14,,978-1-4503-2738-1,"Paris, France",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,956937,Rinat  Khoussainov and Nicholas  Kushmerick,,,,Automated Index Management for Distributed Web Search,386--393,,8,"distributed web search, reinforcement learning, stochastic game",10.1145/956863.956937,,,,,,,2003,,Proceedings of the Twelfth International Conference on Information and Knowledge Management,CIKM '03,,1-58113-723-0,"New Orleans, LA, USA",ACM,"New York, NY, USA"
ACM-DL,article,2937133,Chao  Yu and Hongtao  Lv and Sandip  Sen and Jianye  Hao and Fenghui  Ren and Rui  Liu,,,,An Adaptive Learning Framework for Efficient Emergence of Social Norms: (Extended Abstract),1307--1308,,2,"norm emergence, reinforcement learning, social networks",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2937133,Chao  Yu and Hongtao  Lv and Sandip  Sen and Jianye  Hao and Fenghui  Ren and Rui  Liu,,,,An Adaptive Learning Framework for Efficient Emergence of Social Norms: (Extended Abstract),1307--1308,,2,"norm emergence, reinforcement learning, social networks",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,1068230,David  Pardoe and Michael  Ryoo and Risto  Miikkulainen,,,,Evolving Neural Network Ensembles for Control Problems,1379--1384,,6,"ensembles, genetic algorithms, neural networks, reinforcement learning",10.1145/1068009.1068230,,,,,,,2005,,Proceedings of the 7th Annual Conference on Genetic and Evolutionary Computation,GECCO '05,,1-59593-010-8,"Washington DC, USA",ACM,"New York, NY, USA"
ACM-DL,article,2736123,Pei-Hao  Su and Chuan-Hsun  Wu and Lin-Shan  Lee,,,,A Recursive Dialogue Game for Personalized Computer-aided Pronunciation Training,127--141,,15,"Markov decision process, computer-aided pronunciation training (CAPT), computer-assisted language learning, dialogue game, reinforcement learning",10.1109/TASLP.2014.2375572,"IEEE/ACM Trans. Audio, Speech and Lang. Proc.",January 2015,23,1,,January,2015,2329-9290,,,,,,IEEE Press,"Piscataway, NJ, USA"
ACM-DL,article,2937239,Sanmit  Narvekar,,,,Curriculum Learning in Reinforcement Learning: (Doctoral Consortium),1528--1529,,2,"curriculum learning, reinforcement learning, transfer learning",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2937239,Sanmit  Narvekar,,,,Curriculum Learning in Reinforcement Learning: (Doctoral Consortium),1528--1529,,2,"curriculum learning, reinforcement learning, transfer learning",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,223409,Earl  Rennison,,,,Personalized Galaxies of Information,31--32,,2,"3D interactive graphics, abstracted information spaces, information visualization, reinforcement learning, user interest models",10.1145/223355.223409,,,,,,,1995,,Conference Companion on Human Factors in Computing Systems,CHI '95,,0-89791-755-3,"Denver, Colorado, USA",ACM,"New York, NY, USA"
ACM-DL,article,1632295,Ana-Maria  Mirea and Mircea Cezar Preda,,,,Adaptive Learning Based on Exercises Fitness Degree,215--218,,4,"adaptive learning environments, personalized learning, reinforcement learning, learning systems, adaptive control",10.1109/WI-IAT.2009.266,,,,,,,2009,,Proceedings of the 2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology - Volume 03,WI-IAT '09,,978-0-7695-3801-3,,IEEE Computer Society,"Washington, DC, USA"
ACM-DL,article,2769507,Konstantinos  Tsiakas and Manfred  Huber and Fillia  Makedon,,,,A Multimodal Adaptive Session Manager for Physical Rehabilitation Exercising,33:1--33:8,33,8,"markov decision process, multimodal adaptive systems, personalized rehabilitation systems, reinforcement learning",10.1145/2769493.2769507,,,,,,,2015,,Proceedings of the 8th ACM International Conference on PErvasive Technologies Related to Assistive Environments,PETRA '15,,978-1-4503-3452-5,"Corfu, Greece",ACM,"New York, NY, USA"
ACM-DL,article,3167574,Mohammed  El Fouki and Noura  Aknin and K. Ed El. Kadiri,,,,Intelligent Adapted e-Learning System Based on Deep Reinforcement Learning,85:1--85:6,85,6,"Decision Support System, Deep Neural network, E-learning, Learning Management System (LMS), Personalized learning, Reinforcement Learning",10.1145/3167486.3167574,,,,,,,2017,,Proceedings of the 2Nd International Conference on Computing and Wireless Communication Systems,ICCWCS'17,,978-1-4503-5306-9,"Larache, Morocco",ACM,"New York, NY, USA"
ACM-DL,article,1089838,Omid  Madani and Dennis  DeCoste,,,,Contextual Recommender Problems [Extended Abstract],86--89,,4,"data mining, exploration-exploitation, multi-armed bandit, personalization, recommenders, regression, reinforcement learning, utility",10.1145/1089827.1089838,,,,,,,2005,,Proceedings of the 1st International Workshop on Utility-based Data Mining,UBDM '05,,1-59593-208-9,"Chicago, Illinois",ACM,"New York, NY, USA"
ACM-DL,article,3054006,Joseph Jay Williams and Anna N. Rafferty and Samuel  Maldonado and Andrew  Ang and Dustin  Tingley and Juho  Kim,,,,MOOClets: A Framework for Dynamic Experimentation and Personalization,287--290,,4,"a/b experiment, adaptive learning, dynamic experimentation, mooclet, multi-armed bandit, personalization, reinforcement learning, statistical machine learning",10.1145/3051457.3054006,,,,,,,2017,,Proceedings of the Fourth (2017) ACM Conference on Learning @ Scale,L@S '17,,978-1-4503-4450-0,"Cambridge, Massachusetts, USA",ACM,"New York, NY, USA"
ACM-DL,article,2937192,Hanzhong  Zheng and Janyl  Jumadinova,,,,OWLS: Observational Wireless Life-enhancing System (Extended Abstract),1425--1426,,2,"health monitoring, multi-robot system, reinforcement learning, wearable sensors",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2937192,Hanzhong  Zheng and Janyl  Jumadinova,,,,OWLS: Observational Wireless Life-enhancing System (Extended Abstract),1425--1426,,2,"health monitoring, multi-robot system, reinforcement learning, wearable sensors",,,,,,,,2016,,Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems,AAMAS '16,,978-1-4503-4239-1,"Singapore, Singapore",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,1402315,Kagan  Tumer and Zachary T Welch and Adrian  Agogino,,,,Aligning Social Welfare and Agent Preferences to Alleviate Traffic Congestion,655--662,,8,"multiagent systems, optimization, reinforcement learning, traffic management, transportation",,,,,,,,2008,,Proceedings of the 7th International Joint Conference on Autonomous Agents and Multiagent Systems - Volume 2,AAMAS '08,,978-0-9817381-1-6,"Estoril, Portugal",International Foundation for Autonomous Agents and Multiagent Systems,"Richland, SC"
ACM-DL,article,2623372,Xinxi  Wang and Yi  Wang and David  Hsu and Ye  Wang,,,,Exploration in Interactive Personalized Music Recommendation: A Reinforcement Learning Approach,7:1--7:22,7,22,"Recommender systems, application, machine learning, model, music",10.1145/2623372,ACM Trans. Multimedia Comput. Commun. Appl.,August 2014,11,1,,September,2014,1551-6857,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,2930247,Shitian  Shen and Min  Chi,,,,"Reinforcement Learning: The Sooner the Better, or the Later the Better?",37--44,,8,"delayed reward, immediate reward, pedagogical strategy, problem solving, reinforcement learning, worked example",10.1145/2930238.2930247,,,,,,,2016,,Proceedings of the 2016 Conference on User Modeling Adaptation and Personalization,UMAP '16,,978-1-4503-4368-8,"Halifax, Nova Scotia, Canada",ACM,"New York, NY, USA"
ACM-DL,article,3102251,Leonardo  Cella,,,,Modelling User Behaviors with Evolving Users and Catalogs of Evolving Items,115--116,,2,"evolving items, evolving users, online learning, recommender systems, reinforcement learning, sequental decision making",10.1145/3099023.3102251,,,,,,,2017,,"Adjunct Publication of the 25th Conference on User Modeling, Adaptation and Personalization",UMAP '17,,978-1-4503-5067-9,"Bratislava, Slovakia",ACM,"New York, NY, USA"
ACM-DL,article,1178828,Kathryn  Merrick and Mary Lou Maher,,,,Motivated Reinforcement Learning for Non-player Characters in Persistent Computer Game Worlds,,3,,"computer games, motivation, persistent virtual worlds, reinforcement learning",10.1145/1178823.1178828,,,,,,,2006,,Proceedings of the 2006 ACM SIGCHI International Conference on Advances in Computer Entertainment Technology,ACE '06,,1-59593-380-8,"Hollywood, California, USA",ACM,"New York, NY, USA"
ACM-DL,article,2973826,Ilya  Makarov and Mikhail  Tokmakov and Pavel  Polyakov and Peter  Zyuzin and Maxim  Martynov and Oleg  Konoplya and George  Kuznetsov and Ivan  Guschenko-Cheverda and Maxim  Uriev and Ivan  Mokeev and Olga  Gerasimova and Lada  Tokmakova and Alexey  Kosmachev,,,,First-Person Shooter Game for Virtual Reality Headset with Advanced Multi-Agent Intelligent System,735--736,,2,"first-person shooter, game artificial intelligence, reinforcement learning, unreal engine, virtual reality",10.1145/2964284.2973826,,,,,,,2016,,Proceedings of the 2016 ACM on Multimedia Conference,MM '16,,978-1-4503-3603-1,"Amsterdam, The Netherlands",ACM,"New York, NY, USA"
ACM-DL,article,1248578,Shimon  Whiteson and Peter  Stone,,,,Evolutionary Function Approximation for Reinforcement Learning,877--917,,41,,,J. Mach. Learn. Res.,12/1/2006,7,,,December,2006,1532-4435,,,,,,JMLR.org,
ACM-DL,article,2697038,Hui  Yang and Marc  Sloan and Jun  Wang,,,,Dynamic Information Retrieval Modeling,409--410,,2,"dynamic information retrieval modeling, probabilistic relevance model, reinforcement learning",10.1145/2684822.2697038,,,,,,,2015,,Proceedings of the Eighth ACM International Conference on Web Search and Data Mining,WSDM '15,,978-1-4503-3317-7,"Shanghai, China",ACM,"New York, NY, USA"
ACM-DL,article,1329434,Kagan  Tumer and Adrian  Agogino,,,,Distributed Agent-based Air Traffic Flow Management,255:1--255:8,255,8,"air traffic control, multiagent systems, optimization, reinforcement learning",10.1145/1329125.1329434,,,,,,,2007,,Proceedings of the 6th International Joint Conference on Autonomous Agents and Multiagent Systems,AAMAS '07,,978-81-904262-7-5,"Honolulu, Hawaii",ACM,"New York, NY, USA"
ACM-DL,article,3214348,Esther  Mengelkamp and Christof  Weinhardt,,,,Clustering Household Preferences in Local Electricity Markets,538--543,,6,"Local electricity market, household agents, intelligent agents, reinforcement learning",10.1145/3208903.3214348,,,,,,,2018,,Proceedings of the Ninth International Conference on Future Energy Systems,e-Energy '18,,978-1-4503-5767-8,"Karlsruhe, Germany",ACM,"New York, NY, USA"
ACM-DL,article,3176916,Jacqueline  Hemminghaus and Stefan  Kopp,,,,Adaptive Behavior Generation for Child-Robot Interaction,295--296,,2,"assistive robotics, child-robot-interaction, multimodal social behavior, reinforcement learning",10.1145/3173386.3176916,,,,,,,2018,,Companion of the 2018 ACM/IEEE International Conference on Human-Robot Interaction,HRI '18,,978-1-4503-5615-2,"Chicago, IL, USA",ACM,"New York, NY, USA"
ACM-DL,article,1178432,Bernard  Gorman and Mark  Humphrys,,,,Towards Integrated Imitation of Strategic Planning and Motion Modeling in Interactive Computer Games,,10,,"Quake, clustering, imitation learning, pattern recognition, reinforcement learning, statistical analysis",10.1145/1178418.1178432,Comput. Entertain.,October-December 2006,4,4,,October,2006,1544-3574,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,372204,Dimitrios  Kalles and Panagiotis  Kanellopoulos,,,,On Verifying Game Designs and Playing Strategies Using Reinforcement Learning,6--11,,6,"design verification, games, machine learning, playability, reinforcement learning",10.1145/372202.372204,,,,,,,2001,,Proceedings of the 2001 ACM Symposium on Applied Computing,SAC '01,,1-58113-287-5,"Las Vegas, Nevada, USA",ACM,"New York, NY, USA"
ACM-DL,article,1089605,Shiu-li  Huang and Fu-ren  Lin,,,,Designing Intelligent Sales-agent for Online Selling,279--286,,8,"abstract argumentation framework, negotiation, persuasion, reinforcement learning, sales-agent",10.1145/1089551.1089605,,,,,,,2005,,Proceedings of the 7th International Conference on Electronic Commerce,ICEC '05,,1-59593-112-0,"Xi'an, China",ACM,"New York, NY, USA"
ACM-DL,article,375856,Yoichiro  Matsuno and Tatsuya  Ymazaki and Shin  Ishii and Jun  Matsuno,,,,A Multi-agent Reinforcement Learning Method for a Partially-observable Competitive Game,39--40,,2,"actor-critic model, competitive game, multi-agent, reinforcement learning",10.1145/375735.375856,,,,,,,2001,,Proceedings of the Fifth International Conference on Autonomous Agents,AGENTS '01,,1-58113-326-X,"Montreal, Quebec, Canada",ACM,"New York, NY, USA"
